,updated,accession_number,cik,term,edgar.link,securityTitle,conversionOrExercisePrice,exerciseDate,expirationDate,underlyingSecurityTitle,underlyingSecurityShares,directOrIndirectOwnership,natureOfOwnership,table,firmCIK,firmName,firmTicker,executiveCIK,executiveName,ownerAddress1,ownerAddress2,ownerCity,ownerState,ownerZipCode,isDirector,isOfficer,isTenPercentOwner,isOther,officerTitle,otherText,documentType,periodOfReport,dateOfOriginalSubmission,footnotes,sharesOwnedFollowingTransaction,transactionDate,transactionFormType,transactionCode,equitySwapInvolved,transactionShares,transactionPricePerShare,transactionAcquiredDisposedCode,notSubjectToSection16
0,2024-07-26 18:05:37-04:00,0001415889-24-020218,0001889956,3/A,,Stock Option (right to buy),14.51,,2034-03-10,Class A Common Stock,353390,D,,II: Derivative Securities,0001889956,"OneStream, Inc.",OS,0002027404,Colby Craig,"C/O ONESTREAM, INC.",191 N. CHESTER STREET,BIRMINGHAM,MI,48009,false,true,false,false,President,,3/A,2024-07-24,2024-07-24,"
One-fourth of the shares subject to the option shall vest on February 15, 2025, and 1/48th of the shares subject to the option shall vest each month thereafter, subject to the Reporting Person continuing to be a service provider through the applicable vesting date.
Form 3/A corrects the exercise price of the holding.
",,,,,,,,,
1,2024-07-26 18:04:14-04:00,0001415889-24-020216,0001889956,3/A,,Stock Option (right to buy),16.40,,2034-06-21,Class A Common Stock,50000,D,,II: Derivative Securities,0001889956,"OneStream, Inc.",OS,0001529006,WILSON KARA,"C/O ONESTREAM, INC.",191 N. CHESTER STREET,BIRMINGHAM,MI,48009,true,false,false,false,,,3/A,2024-07-24,2024-07-24,"
The holding was omitted from the reporting person's original Form 3.
One-fourth of the shares subject to the option shall vest on May 31, 2025, and 1/48th of the shares subject to the option shall vest each month thereafter, subject to the Reporting Person continuing to be a service provider through the applicable vesting date.
",,,,,,,,,
2,2024-07-26 18:02:40-04:00,0001415889-24-020214,0001889956,3/A,,Common Units,0,,,Class D Common Stock,1270924,I,See footnote,II: Derivative Securities,0001889956,"OneStream, Inc.",OS,0001642337,Koefoed William A,"C/O ONESTREAM, INC.",191 N. CHESTER STREET,BIRMINGHAM,MI,48009,false,true,false,false,Chief Financial Officer,,3/A,2024-07-24,2024-07-24,"
The Common Units may be redeemed by the Reporting Person for shares of Class D Common Stock on a 1:1 basis, and a corresponding number of shares of Class C Common Stock will be forfeited in connection with the redemption. The Common Units have no expiration date. The Class D Common Stock is in turn convertible at any time, at the holder's election, into Class A Common Stock on a 1:1 basis. Each outstanding share of Class D Common Stock will automatically convert into one share of Class A Common Stock on the first trading day following the seventh anniversary of the Issuer's initial public offering.
The Form 3/A corrects the title of the underlying derivative security.
Shares held of record by Blazing Elk Management I, Inc.  Blazing Elk Management I, Inc. is a subchapter S corporation controlled by the Reporting Person who has sole voting and dispositive power over the shares held by it.
Shares held of record by Blazing Elk Management II, Inc. Blazing Elk Management II, Inc. is a subchapter S corporation controlled by the Reporting Person who has sole voting and dispositive power over the shares held by it.
One-fourth of the shares subject to the option vested on February 15, 2024, and 1/48th of the shares subject to the option shall vest each month thereafter, subject to the Reporting Person continuing to be a service provider through the applicable vesting date.
The Form 3/A corrects the number of underlying securities.
One-sixteenth of the shares subject to the option shall vest October 23, 2024, and one-sixteenth of the shares subject to the option shall vest every three months thereafter, subject to the Reporting Person continuing to be a service provider through the applicable vesting date.
",,,,,,,,,
3,2024-07-26 18:02:40-04:00,0001415889-24-020214,0001889956,3/A,,Common Units,0,,,Class D Common Stock,175125,I,See footnote,II: Derivative Securities,0001889956,"OneStream, Inc.",OS,0001642337,Koefoed William A,"C/O ONESTREAM, INC.",191 N. CHESTER STREET,BIRMINGHAM,MI,48009,false,true,false,false,Chief Financial Officer,,3/A,2024-07-24,2024-07-24,"
The Common Units may be redeemed by the Reporting Person for shares of Class D Common Stock on a 1:1 basis, and a corresponding number of shares of Class C Common Stock will be forfeited in connection with the redemption. The Common Units have no expiration date. The Class D Common Stock is in turn convertible at any time, at the holder's election, into Class A Common Stock on a 1:1 basis. Each outstanding share of Class D Common Stock will automatically convert into one share of Class A Common Stock on the first trading day following the seventh anniversary of the Issuer's initial public offering.
The Form 3/A corrects the title of the underlying derivative security.
Shares held of record by Blazing Elk Management I, Inc.  Blazing Elk Management I, Inc. is a subchapter S corporation controlled by the Reporting Person who has sole voting and dispositive power over the shares held by it.
Shares held of record by Blazing Elk Management II, Inc. Blazing Elk Management II, Inc. is a subchapter S corporation controlled by the Reporting Person who has sole voting and dispositive power over the shares held by it.
One-fourth of the shares subject to the option vested on February 15, 2024, and 1/48th of the shares subject to the option shall vest each month thereafter, subject to the Reporting Person continuing to be a service provider through the applicable vesting date.
The Form 3/A corrects the number of underlying securities.
One-sixteenth of the shares subject to the option shall vest October 23, 2024, and one-sixteenth of the shares subject to the option shall vest every three months thereafter, subject to the Reporting Person continuing to be a service provider through the applicable vesting date.
",,,,,,,,,
4,2024-07-26 18:02:40-04:00,0001415889-24-020214,0001889956,3/A,,Stock Option (right to buy),10.65,,2033-03-05,Class A Common Stock,439450,D,,II: Derivative Securities,0001889956,"OneStream, Inc.",OS,0001642337,Koefoed William A,"C/O ONESTREAM, INC.",191 N. CHESTER STREET,BIRMINGHAM,MI,48009,false,true,false,false,Chief Financial Officer,,3/A,2024-07-24,2024-07-24,"
The Common Units may be redeemed by the Reporting Person for shares of Class D Common Stock on a 1:1 basis, and a corresponding number of shares of Class C Common Stock will be forfeited in connection with the redemption. The Common Units have no expiration date. The Class D Common Stock is in turn convertible at any time, at the holder's election, into Class A Common Stock on a 1:1 basis. Each outstanding share of Class D Common Stock will automatically convert into one share of Class A Common Stock on the first trading day following the seventh anniversary of the Issuer's initial public offering.
The Form 3/A corrects the title of the underlying derivative security.
Shares held of record by Blazing Elk Management I, Inc.  Blazing Elk Management I, Inc. is a subchapter S corporation controlled by the Reporting Person who has sole voting and dispositive power over the shares held by it.
Shares held of record by Blazing Elk Management II, Inc. Blazing Elk Management II, Inc. is a subchapter S corporation controlled by the Reporting Person who has sole voting and dispositive power over the shares held by it.
One-fourth of the shares subject to the option vested on February 15, 2024, and 1/48th of the shares subject to the option shall vest each month thereafter, subject to the Reporting Person continuing to be a service provider through the applicable vesting date.
The Form 3/A corrects the number of underlying securities.
One-sixteenth of the shares subject to the option shall vest October 23, 2024, and one-sixteenth of the shares subject to the option shall vest every three months thereafter, subject to the Reporting Person continuing to be a service provider through the applicable vesting date.
",,,,,,,,,
5,2024-07-26 18:02:40-04:00,0001415889-24-020214,0001889956,3/A,,Stock Option (right to buy),20,,2034-07-22,Class A Common Stock,464792,D,,II: Derivative Securities,0001889956,"OneStream, Inc.",OS,0001642337,Koefoed William A,"C/O ONESTREAM, INC.",191 N. CHESTER STREET,BIRMINGHAM,MI,48009,false,true,false,false,Chief Financial Officer,,3/A,2024-07-24,2024-07-24,"
The Common Units may be redeemed by the Reporting Person for shares of Class D Common Stock on a 1:1 basis, and a corresponding number of shares of Class C Common Stock will be forfeited in connection with the redemption. The Common Units have no expiration date. The Class D Common Stock is in turn convertible at any time, at the holder's election, into Class A Common Stock on a 1:1 basis. Each outstanding share of Class D Common Stock will automatically convert into one share of Class A Common Stock on the first trading day following the seventh anniversary of the Issuer's initial public offering.
The Form 3/A corrects the title of the underlying derivative security.
Shares held of record by Blazing Elk Management I, Inc.  Blazing Elk Management I, Inc. is a subchapter S corporation controlled by the Reporting Person who has sole voting and dispositive power over the shares held by it.
Shares held of record by Blazing Elk Management II, Inc. Blazing Elk Management II, Inc. is a subchapter S corporation controlled by the Reporting Person who has sole voting and dispositive power over the shares held by it.
One-fourth of the shares subject to the option vested on February 15, 2024, and 1/48th of the shares subject to the option shall vest each month thereafter, subject to the Reporting Person continuing to be a service provider through the applicable vesting date.
The Form 3/A corrects the number of underlying securities.
One-sixteenth of the shares subject to the option shall vest October 23, 2024, and one-sixteenth of the shares subject to the option shall vest every three months thereafter, subject to the Reporting Person continuing to be a service provider through the applicable vesting date.
",,,,,,,,,
6,2024-07-26 18:00:44-04:00,0001415889-24-020212,0001889956,3/A,,Common Units,0,,,Class D Common Stock,325233,D,,II: Derivative Securities,0001889956,"OneStream, Inc.",OS,0001063663,MARINER JONATHAN D,"C/O ONESTREAM, INC.",191 N. CHESTER STREET,BIRMINGHAM,MI,48009,true,false,false,false,,,3/A,2024-07-24,2024-07-24,"
The Common Units may be redeemed by the Reporting Person for shares of Class D Common Stock on a 1:1 basis, and a corresponding number of shares of Class C Common Stock will be forfeited in connection with the redemption. The Common Units have no expiration date. The Class D Common Stock is in turn convertible at any time, at the holder's election, into Class A Common Stock on a 1:1 basis. Each outstanding share of Class D Common Stock will automatically convert into one share of Class A Common Stock on the first trading day following the seventh anniversary of the Issuer's initial public offering.
The Form 3/A corrects the title of the underlying derivative security.
The Common Units held of record by the Jonathan D. Mariner Revocable Trust, or the Mariner Revocable Trust, of which the Reporting Person is a trustee. By virtue of his relationship, the Reporting Person may be deemed to hold voting and dispositive power with respect to the Common Units held by the Mariner Revocable Trust.
The Common Units held of record by the Mariner Family Equity Trust, of which the Reporting Person is trustee. By virtue of his relationship, the Reporting Person may be deemed to hold voting and dispositive power with respect to the Common Units held by the Mariner Family Equity Trust.
",,,,,,,,,
7,2024-07-26 18:00:44-04:00,0001415889-24-020212,0001889956,3/A,,Common Units,0,,,Class D Common Stock,46079,I,See footnote,II: Derivative Securities,0001889956,"OneStream, Inc.",OS,0001063663,MARINER JONATHAN D,"C/O ONESTREAM, INC.",191 N. CHESTER STREET,BIRMINGHAM,MI,48009,true,false,false,false,,,3/A,2024-07-24,2024-07-24,"
The Common Units may be redeemed by the Reporting Person for shares of Class D Common Stock on a 1:1 basis, and a corresponding number of shares of Class C Common Stock will be forfeited in connection with the redemption. The Common Units have no expiration date. The Class D Common Stock is in turn convertible at any time, at the holder's election, into Class A Common Stock on a 1:1 basis. Each outstanding share of Class D Common Stock will automatically convert into one share of Class A Common Stock on the first trading day following the seventh anniversary of the Issuer's initial public offering.
The Form 3/A corrects the title of the underlying derivative security.
The Common Units held of record by the Jonathan D. Mariner Revocable Trust, or the Mariner Revocable Trust, of which the Reporting Person is a trustee. By virtue of his relationship, the Reporting Person may be deemed to hold voting and dispositive power with respect to the Common Units held by the Mariner Revocable Trust.
The Common Units held of record by the Mariner Family Equity Trust, of which the Reporting Person is trustee. By virtue of his relationship, the Reporting Person may be deemed to hold voting and dispositive power with respect to the Common Units held by the Mariner Family Equity Trust.
",,,,,,,,,
8,2024-07-26 18:00:44-04:00,0001415889-24-020212,0001889956,3/A,,Common Units,0,,,Class D Common Stock,46079,I,See footnote,II: Derivative Securities,0001889956,"OneStream, Inc.",OS,0001063663,MARINER JONATHAN D,"C/O ONESTREAM, INC.",191 N. CHESTER STREET,BIRMINGHAM,MI,48009,true,false,false,false,,,3/A,2024-07-24,2024-07-24,"
The Common Units may be redeemed by the Reporting Person for shares of Class D Common Stock on a 1:1 basis, and a corresponding number of shares of Class C Common Stock will be forfeited in connection with the redemption. The Common Units have no expiration date. The Class D Common Stock is in turn convertible at any time, at the holder's election, into Class A Common Stock on a 1:1 basis. Each outstanding share of Class D Common Stock will automatically convert into one share of Class A Common Stock on the first trading day following the seventh anniversary of the Issuer's initial public offering.
The Form 3/A corrects the title of the underlying derivative security.
The Common Units held of record by the Jonathan D. Mariner Revocable Trust, or the Mariner Revocable Trust, of which the Reporting Person is a trustee. By virtue of his relationship, the Reporting Person may be deemed to hold voting and dispositive power with respect to the Common Units held by the Mariner Revocable Trust.
The Common Units held of record by the Mariner Family Equity Trust, of which the Reporting Person is trustee. By virtue of his relationship, the Reporting Person may be deemed to hold voting and dispositive power with respect to the Common Units held by the Mariner Family Equity Trust.
",,,,,,,,,
9,2024-07-24 21:22:21-04:00,0001140361-24-034057,0001889956,3,,Common Units,,,,Class D Common Stock,55088485,I,See Footnotes,II: Derivative Securities,0001889956,"OneStream, Inc.",OS,0001472698,KKR Group Partnership L.P.,30 HUDSON YARDS,,NEW YORK,NY,10001,,,true,,,,3,2024-07-24,,"
Common Units represent limited liability company units of OneStream Software LLC (""Common Units"") and an equal number of shares of Class C common stock (""Class C Common Stock"") of OneStream, Inc. (the ""Issuer"").  Common Units may be redeemed by the holder at any time on or following the closing of the Issuer's initial public offering for shares of Class D common stock (""Class D Common Stock"") on a one-for-one basis, and a corresponding number of shares of Class C Common Stock will be forfeited in connection with the redemption.  The Common Units have no expiration date.  The Class D Common Stock is in turn convertible at any time, at the holder's election, into the Issuer's Class A common stock (""Class A Common Stock"") on a one-for-one basis.  Each outstanding share of Class D Common Stock will automatically convert into one share of the Issuer's Class A Common Stock on the first trading day following the seventh anniversary of the Issuer's initial public offering.
The Class D Common Stock is convertible at any time, at the holder's election, into Class A Common Stock on a one-for-one basis.  Each outstanding share of Class D Common Stock will automatically convert into one share of the Issuer's Class A Common Stock on the first trading day following the seventh anniversary of the Issuer's initial public offering.
Represents securities held by KKR Dream Holdings LLC.  KKR Dream Aggregator L.P. is the sole member of KKR Dream Holdings LLC. KKR Dream Aggregator GP LLC is the general partner of KKR Dream Aggregator L.P. KKR Americas Fund XII (Dream) L.P. is the sole member of KKR Dream Aggregator GP LLC.
Represents securities held by KKR Americas XII (Dream) Blocker Parent L.P.
Represents securities held by KKR Americas XII EEA (Dream) Blocker Parent L.P.
Represents securities held by KKR Americas XII (Dream II) Blocker Parent L.P.
KKR Associates Americas XII AIV L.P. is the general partner of each of KKR Americas Fund XII (Dream) L.P., KKR Americas XII (Dream) Blocker Parent L.P., KKR Americas XII EEA (Dream) Blocker Parent L.P., and KKR Americas XII (Dream II) Blocker Parent L.P.  KKR Americas XII AIV GP LLC is the general partner of KKR Associates Americas XII AIV L.P.
Represents securities held by KKR TFO Partners L.P. KKR Associates TFO L.P. is the general partner of KKR TFO Partners L.P. KKR TFO GP Limited is the general partner of KKR Associates TFO L.P.
Represents securities held by KKR Custom Equity Opportunities Fund L.P. KKR Associates Custom Equity Opportunities L.P. is the general partner of KKR Custom Equity Opportunities Fund L.P. KKR Custom Equity Opportunities Limited is the general partner of KKR Associates Custom Equity Opportunities L.P.
Represents securities held by KKR-Milton Strategic Partners L.P. KKR Associates Milton Strategic L.P. is the general partner of KKR-Milton Strategic Partners L.P. KKR Milton Strategic Limited is the general partner of KKR Associates Milton Strategic L.P.
Represents securities held by KKR NGT (Dream) Blocker Parent L.P.
Represents securities held by KKR NGT (Dream) Blocker Parent (EEA) L.P.
KKR Associates NGT L.P. is the general partner of KKR NGT (Dream) Blocker Parent L.P. and KKR NGT (Dream) Blocker Parent (EEA) L.P. KKR Next Gen Tech Growth Limited is the general partner of KKR Associates NGT L.P.
Represents securities held by KKR Wolverine I Ltd. KKR Financial Management LLC is the portfolio manager of KKR Wolverine I Ltd. Kohlberg Kravis Roberts & Co. L.P. is the sole member of KKR Financial Management LLC. KKR & Co. GP LLC is the general partner of Kohlberg Kravis Roberts & Co. L.P. KKR Holdco LLC is the sole member of KKR & Co. GP LLC.
Represents securities held by K-PRIME AG Financing LP. K-PRIME Hedge-Finance GP Limited is the general partner of K-PRIME AG Financing LP. K-PRIME Aggregator L.P. is the sole shareholder of K-PRIME Hedge-Finance GP Limited. K-PRIME GP LLC is the general partner of K-PRIME Aggregator L.P. KKR Associates Group L.P. is the sole member of K-PRIME GP LLC. KKR Associates Group GP LLC is the general partner of KKR Associates Group L.P.
KKR Group Partnership L.P. is the sole member of each of KKR Americas XII AIV GP LLC, KKR Associates Group GP LLC, and KKR Holdco LLC and sole shareholder of each of KKR TFO GP Limited, KKR Custom Equity Opportunities Limited, KKR Milton Strategic Limited and KKR Next Gen Tech Growth Limited. KKR Group Holdings Corp. is the general partner of KKR Group Partnership L.P. KKR Group Co. Inc. is the sole shareholder of KKR Group Holdings Corp. KKR & Co. Inc. is the sole shareholder of KKR Group Co. Inc. KKR Management LLP is the Series I preferred stockholder of KKR & Co. Inc. Messrs. Henry R. Kravis and George R. Roberts are the founding partners of KKR Management LLP.
Each of the Reporting Persons disclaims beneficial ownership of the securities reported herein, except to the extent of such Reporting Person's pecuniary interest therein. The filing of this statement shall not be deemed to be an admission that, for purposes of Section 16 of the Securities Exchange Act of 1934 or otherwise, the Reporting Persons are the beneficial owners of any securities reported herein.
",,,,,,,,,
